Date,Price_INR,Change%_INR,Date_CNY,Price_CNY,Change%_CNY,Date_AUD,Price_AUD,Change%_AUD,Date_EUR,Price_EUR,Change%_EUR
6/15/15,64.085,-0.02%,6/16/15,6.2085,-0.01%,7/2/15,1.3103,0.16%,5/13/16,0.8844,0.61%
6/12/15,64.1,0.22%,6/15/15,6.209,0.01%,7/1/15,1.3082,0.84%,5/12/16,0.879,0.42%
6/11/15,63.959,0.30%,6/12/15,6.2083,0.03%,6/30/15,1.2973,-0.38%,5/11/16,0.8753,-0.47%
6/10/15,63.766,-0.38%,6/11/15,6.2066,0.01%,6/29/15,1.3022,-0.31%,5/10/16,0.8794,0.10%
6/9/15,64.01,0.10%,6/10/15,6.2058,0.00%,6/26/15,1.3062,1.06%,5/9/16,0.8785,0.19%
6/8/15,63.947,0.28%,6/9/15,6.2057,0.00%,6/25/15,1.2925,-0.43%,5/6/16,0.8768,0.00%
6/5/15,63.77,-0.30%,6/8/15,6.2056,0.04%,6/24/15,1.2981,0.42%,5/5/16,0.8768,0.72%
6/4/15,63.964,-0.05%,6/5/15,6.2034,0.04%,6/23/15,1.2927,-0.09%,5/4/16,0.8705,0.08%
6/3/15,63.997,0.48%,6/4/15,6.2011,0.05%,6/22/15,1.2939,0.54%,5/3/16,0.8698,0.32%
6/2/15,63.689,0.15%,6/3/15,6.1978,-0.01%,6/19/15,1.2869,0.36%,5/2/16,0.867,-0.69%
6/1/15,63.594,-0.23%,6/2/15,6.1982,-0.02%,6/18/15,1.2823,-0.64%,4/29/16,0.873,-0.90%
5/29/15,63.743,-0.03%,6/1/15,6.1995,0.02%,6/17/15,1.2906,0.05%,4/28/16,0.8809,-0.27%
5/28/15,63.763,-0.10%,5/29/15,6.1983,-0.05%,6/16/15,1.29,0.18%,4/27/16,0.8833,-0.20%
5/27/15,63.826,-0.23%,5/28/15,6.2012,0.00%,6/15/15,1.2877,-0.45%,4/26/16,0.8851,-0.26%
5/26/15,63.972,0.75%,5/27/15,6.2013,-0.04%,6/12/15,1.2935,0.31%,4/25/16,0.8874,-0.31%
5/25/15,63.496,0.01%,5/26/15,6.2039,0.03%,6/11/15,1.2895,0.06%,4/22/16,0.8902,0.49%
5/22/15,63.49,-0.14%,5/25/15,6.202,0.07%,6/10/15,1.2887,-0.89%,4/21/16,0.8859,0.09%
5/21/15,63.58,-0.03%,5/22/15,6.1974,0.01%,6/9/15,1.3003,0.15%,4/20/16,0.8851,0.53%
5/20/15,63.598,-0.26%,5/21/15,6.1968,-0.11%,6/8/15,1.2984,-0.94%,4/19/16,0.8804,-0.40%
5/19/15,63.763,0.09%,5/20/15,6.2037,-0.05%,6/5/15,1.3107,0.78%,4/18/16,0.8839,-0.27%
5/18/15,63.708,0.42%,5/19/15,6.2066,0.04%,6/4/15,1.3005,1.26%,4/15/16,0.8863,-0.12%
5/15/15,63.44,0.09%,5/18/15,6.2043,-0.03%,6/3/15,1.2843,-0.18%,4/14/16,0.8874,0.05%
5/14/15,63.383,-0.98%,5/15/15,6.2061,0.07%,6/2/15,1.2866,-2.14%,4/13/16,0.887,1.00%
5/13/15,64.013,-0.21%,5/14/15,6.2016,-0.05%,6/1/15,1.3148,0.46%,4/12/16,0.8782,0.19%
5/12/15,64.147,0.22%,5/13/15,6.2046,-0.07%,5/29/15,1.3088,0.11%,4/11/16,0.8765,-0.07%
5/11/15,64.007,0.46%,5/12/15,6.2089,-0.01%,5/28/15,1.3074,1.04%,4/8/16,0.8771,-0.22%
5/8/15,63.711,-0.56%,5/11/15,6.2096,0.00%,5/27/15,1.294,0.10%,4/7/16,0.879,0.21%
5/7/15,64.073,0.71%,5/8/15,6.2094,0.05%,5/26/15,1.2927,1.15%,4/6/16,0.8772,-0.14%
5/6/15,63.621,0.40%,5/7/15,6.2066,0.10%,5/25/15,1.278,0.06%,4/5/16,0.8784,0.06%
5/5/15,63.369,-0.23%,5/6/15,6.2004,-0.09%,5/22/15,1.2772,0.83%,4/4/16,0.8779,-0.02%
5/4/15,63.516,-0.32%,5/5/15,6.206,-0.05%,5/21/15,1.2667,-0.27%,4/1/16,0.8781,-0.08%
5/1/15,63.719,0.30%,5/4/15,6.209,0.10%,5/20/15,1.2701,0.52%,3/31/16,0.8788,-0.36%
4/30/15,63.529,0.11%,5/1/15,6.2028,0.00%,5/19/15,1.2635,0.94%,3/30/16,0.882,-0.42%
4/29/15,63.46,0.65%,4/30/15,6.2028,0.06%,5/18/15,1.2517,0.56%,3/29/16,0.8857,-0.83%
4/28/15,63.053,-0.46%,4/29/15,6.1993,-0.08%,5/15/15,1.2447,0.57%,3/28/16,0.8931,-0.28%
4/27/15,63.346,-0.50%,4/28/15,6.204,-0.24%,5/14/15,1.2376,0.40%,3/25/16,0.8956,0.07%
4/24/15,63.662,0.61%,4/27/15,6.219,0.41%,5/13/15,1.2327,-1.68%,3/24/16,0.895,0.09%
4/23/15,63.277,0.47%,4/24/15,6.1935,-0.06%,5/12/15,1.2538,-1.07%,3/23/16,0.8942,0.30%
4/22/15,62.98,0.20%,4/23/15,6.197,0.05%,5/11/15,1.2673,0.54%,3/22/16,0.8915,0.21%
4/21/15,62.854,-0.45%,4/22/15,6.194,-0.11%,5/8/15,1.2605,-0.33%,3/21/16,0.8896,0.26%
4/20/15,63.137,0.94%,4/21/15,6.201,0.00%,5/7/15,1.2647,0.78%,3/18/16,0.8873,0.43%
4/17/15,62.55,0.37%,4/20/15,6.201,0.05%,5/6/15,1.2549,-0.33%,3/17/16,0.8835,-0.82%
4/16/15,62.317,-0.07%,4/17/15,6.1978,0.03%,5/5/15,1.2591,-1.32%,3/16/16,0.8908,-1.04%
4/15/15,62.36,0.15%,4/16/15,6.1962,-0.15%,5/4/15,1.2759,0.18%,3/15/16,0.9002,-0.02%
4/14/15,62.268,-0.22%,4/15/15,6.2052,-0.10%,5/1/15,1.2736,0.68%,3/14/16,0.9004,0.41%
4/13/15,62.407,0.21%,4/14/15,6.2115,-0.08%,4/30/15,1.265,1.31%,3/11/16,0.8967,0.22%
4/10/15,62.276,-0.05%,4/13/15,6.2167,0.13%,4/29/15,1.2487,0.20%,3/10/16,0.8947,-1.53%
4/9/15,62.306,0.18%,4/10/15,6.2085,0.05%,4/28/15,1.2462,-2.07%,3/9/16,0.9086,0.00%
4/8/15,62.192,-0.17%,4/9/15,6.2055,0.05%,4/27/15,1.2725,-0.52%,3/8/16,0.9086,0.07%
4/7/15,62.296,0.14%,4/8/15,6.2025,0.10%,4/24/15,1.2791,-0.51%,3/7/16,0.908,-0.08%
4/6/15,62.207,0.40%,4/7/15,6.196,0.04%,4/23/15,1.2856,-0.30%,3/4/16,0.9087,-0.42%
4/3/15,61.96,-0.17%,4/6/15,6.1935,0.00%,4/22/15,1.2895,-0.59%,3/3/16,0.9125,-0.84%
4/2/15,62.067,-0.12%,4/3/15,6.1935,-0.06%,4/21/15,1.2971,0.21%,3/2/16,0.9202,-0.01%
4/1/15,62.142,-0.24%,4/2/15,6.197,-0.02%,4/20/15,1.2944,0.65%,3/1/16,0.9203,0.07%
3/31/15,62.291,-0.35%,4/1/15,6.1985,-0.02%,4/17/15,1.286,0.35%,2/29/16,0.9197,0.57%
3/30/15,62.51,-0.02%,3/31/15,6.1995,-0.12%,4/16/15,1.2815,-1.57%,2/26/16,0.9145,0.80%
3/27/15,62.523,-0.50%,3/30/15,6.207,-0.13%,4/15/15,1.302,-0.72%,2/25/16,0.9072,-0.10%
3/26/15,62.836,0.68%,3/27/15,6.215,0.07%,4/14/15,1.3114,-0.47%,2/24/16,0.9081,0.08%
3/25/15,62.412,0.10%,3/26/15,6.2108,-0.02%,4/13/15,1.3176,1.24%,2/23/16,0.9074,0.09%
3/24/15,62.348,0.19%,3/25/15,6.2121,0.11%,4/10/15,1.3014,0.12%,2/22/16,0.9066,0.95%
3/23/15,62.23,-0.29%,3/24/15,6.2051,-0.14%,4/9/15,1.2998,-0.13%,2/19/16,0.8981,-0.24%
3/20/15,62.41,-0.13%,3/23/15,6.214,0.14%,4/8/15,1.3015,-0.65%,2/18/16,0.9003,0.19%
3/19/15,62.49,-0.34%,3/20/15,6.2052,0.15%,4/7/15,1.31,-0.56%,2/17/16,0.8986,0.14%
3/18/15,62.701,0.12%,3/19/15,6.196,-0.54%,4/6/15,1.3174,0.53%,2/16/16,0.8973,0.10%
3/17/15,62.623,-0.25%,3/18/15,6.2294,-0.32%,4/3/15,1.3104,-0.52%,2/15/16,0.8964,0.93%
3/16/15,62.78,-0.48%,3/17/15,6.2495,-0.21%,4/2/15,1.3173,0.11%,2/12/16,0.8881,0.57%
3/13/15,63.083,0.87%,3/16/15,6.2625,0.05%,4/1/15,1.3158,0.09%,2/11/16,0.8831,-0.30%
3/12/15,62.542,-0.38%,3/13/15,6.2595,-0.05%,3/31/15,1.3146,0.63%,2/10/16,0.8858,0.03%
3/11/15,62.781,0.10%,3/12/15,6.2624,0.00%,3/30/15,1.3064,1.27%,2/9/16,0.8855,-0.85%
3/10/15,62.72,0.14%,3/11/15,6.2623,0.00%,3/27/15,1.29,0.99%,2/8/16,0.8931,-0.35%
3/9/15,62.634,0.28%,3/10/15,6.262,-0.03%,3/26/15,1.2774,0.21%,2/5/16,0.8962,0.45%
3/6/15,62.46,0.13%,3/9/15,6.264,0.02%,3/25/15,1.2747,0.40%,2/4/16,0.8922,-0.92%
3/5/15,62.381,0.12%,3/6/15,6.2625,-0.06%,3/24/15,1.2696,0.06%,2/3/16,0.9005,-1.68%
3/4/15,62.309,0.79%,3/5/15,6.266,-0.07%,3/23/15,1.2689,-1.35%,2/2/16,0.9159,-0.27%
3/3/15,61.819,-0.07%,3/4/15,6.2706,-0.06%,3/20/15,1.2863,-1.62%,2/1/16,0.9184,-0.48%
3/2/15,61.862,0.33%,3/3/15,6.2744,0.03%,3/19/15,1.3075,1.61%,1/29/16,0.9228,0.94%
2/27/15,61.659,-0.12%,3/2/15,6.2725,0.05%,3/18/15,1.2868,-1.97%,1/28/16,0.9142,-0.42%
2/26/15,61.731,-0.21%,2/27/15,6.2696,0.17%,3/17/15,1.3127,0.30%,1/27/16,0.9181,-0.18%
2/25/15,61.862,-0.50%,2/26/15,6.2589,-0.01%,3/16/15,1.3088,-0.05%,1/26/16,0.9198,-0.22%
2/24/15,62.17,0.01%,2/25/15,6.2593,0.07%,3/13/15,1.3094,0.92%,1/25/16,0.9218,-0.48%
2/23/15,62.163,0.09%,2/24/15,6.2551,0.00%,3/12/15,1.2974,-1.47%,1/22/16,0.9262,0.72%
2/20/15,62.109,-0.05%,2/23/15,6.2551,0.00%,3/11/15,1.3167,0.40%,1/21/16,0.9196,0.15%
2/19/15,62.138,0.13%,2/20/15,6.2551,0.00%,3/10/15,1.3114,1.00%,1/20/16,0.9182,0.16%
2/18/15,62.057,-0.16%,2/19/15,6.2551,0.00%,3/9/15,1.2984,0.22%,1/19/16,0.9167,-0.15%
2/17/15,62.157,0.08%,2/18/15,6.2551,0.00%,3/6/15,1.2956,0.82%,1/18/16,0.9181,0.22%
2/16/15,62.105,0.05%,2/17/15,6.2551,0.11%,3/5/15,1.285,0.45%,1/15/16,0.9161,-0.47%
2/13/15,62.076,-0.12%,2/16/15,6.2485,0.13%,3/4/15,1.2792,-0.02%,1/14/16,0.9204,0.11%
2/12/15,62.15,-0.37%,2/13/15,6.2403,-0.07%,3/3/15,1.2795,-0.62%,1/13/16,0.9194,-0.17%
2/11/15,62.382,0.09%,2/12/15,6.2445,0.03%,3/2/15,1.2875,0.57%,1/12/16,0.921,0.02%
2/10/15,62.327,0.29%,2/11/15,6.2427,0.03%,2/27/15,1.2802,-0.14%,1/11/16,0.9208,0.66%
2/9/15,62.149,0.29%,2/10/15,6.241,-0.10%,2/26/15,1.282,1.10%,1/8/16,0.9148,0.04%
2/6/15,61.97,0.42%,2/9/15,6.247,0.05%,2/25/15,1.2681,-0.68%,1/7/16,0.9144,-1.41%
2/5/15,61.709,-0.22%,2/6/15,6.244,-0.13%,2/24/15,1.2768,-0.39%,1/6/16,0.9275,-0.31%
2/4/15,61.842,0.40%,2/5/15,6.2521,0.07%,2/23/15,1.2818,0.54%,1/5/16,0.9304,0.78%
2/3/15,61.596,-0.20%,2/4/15,6.2477,-0.16%,2/20/15,1.2749,-0.65%,1/4/16,0.9232,0.26%
2/2/15,61.719,-0.49%,2/3/15,6.2578,-0.03%,2/19/15,1.2833,0.25%,1/1/16,0.9208,0.01%
1/30/15,62.02,0.35%,2/2/15,6.2597,0.16%,2/18/15,1.2801,0.07%,12/31/15,0.9207,0.66%
1/29/15,61.801,0.72%,1/30/15,6.25,0.05%,2/17/15,1.2792,-0.57%,12/30/15,0.9147,-0.14%
1/28/15,61.358,-0.08%,1/29/15,6.2466,-0.02%,2/16/15,1.2865,-0.06%,12/29/15,0.916,0.46%
1/27/15,61.41,-0.11%,1/28/15,6.248,0.07%,2/13/15,1.2873,-0.42%,12/28/15,0.9118,0.09%
1/26/15,61.48,0.07%,1/27/15,6.2435,-0.17%,2/12/15,1.2927,-0.22%,12/25/15,0.911,-0.07%
1/23/15,61.44,-0.27%,1/26/15,6.254,0.41%,2/11/15,1.2955,0.66%,12/24/15,0.9116,-0.55%
1/22/15,61.605,0.07%,1/23/15,6.2285,0.32%,2/10/15,1.287,0.43%,12/23/15,0.9166,0.42%
1/21/15,61.56,-0.15%,1/22/15,6.2088,-0.04%,2/9/15,1.2815,-0.09%,12/22/15,0.9128,-0.37%
1/20/15,61.655,0.02%,1/21/15,6.2115,-0.04%,2/6/15,1.2826,0.02%,12/21/15,0.9162,-0.43%
1/19/15,61.645,-0.36%,1/20/15,6.214,-0.09%,2/5/15,1.2824,-0.58%,12/18/15,0.9202,-0.38%
1/16/15,61.87,-0.31%,1/19/15,6.2195,0.20%,2/4/15,1.2899,0.52%,12/17/15,0.9237,0.80%
1/15/15,62.065,-0.05%,1/16/15,6.207,0.32%,2/3/15,1.2832,0.12%,12/16/15,0.9164,0.13%
1/14/15,62.095,0.19%,1/15/15,6.1875,-0.14%,2/2/15,1.2816,-0.44%,12/15/15,0.9152,0.59%
1/13/15,61.98,-0.15%,1/14/15,6.1959,-0.03%,1/30/15,1.2873,-0.10%,12/14/15,0.9098,-0.02%
1/12/15,62.075,-0.45%,1/13/15,6.1975,-0.09%,1/29/15,1.2886,1.65%,12/11/15,0.91,-0.45%
1/9/15,62.355,-0.51%,1/12/15,6.2032,-0.09%,1/28/15,1.2677,0.62%,12/10/15,0.9141,0.78%
1/8/15,62.675,-0.96%,1/9/15,6.2088,-0.09%,1/27/15,1.2599,-0.15%,12/9/15,0.907,-1.20%
1/7/15,63.28,-0.46%,1/8/15,6.2146,0.03%,1/26/15,1.2618,-0.22%,12/8/15,0.918,-0.52%
1/6/15,63.575,0.36%,1/7/15,6.2129,0.00%,1/23/15,1.2646,1.49%,12/7/15,0.9228,0.46%
1/5/15,63.345,0.09%,1/6/15,6.213,-0.12%,1/22/15,1.246,0.74%,12/4/15,0.9186,0.47%
1/2/15,63.285,-0.11%,1/5/15,6.2206,0.23%,1/21/15,1.2368,1.05%,12/3/15,0.9143,-2.95%
1/1/15,63.355,0.51%,1/2/15,6.2061,0.00%,1/20/15,1.2239,0.50%,12/2/15,0.9421,0.16%
12/31/14,63.035,-0.55%,1/1/15,6.2061,0.00%,1/19/15,1.2178,0.19%,12/1/15,0.9406,-0.63%
12/30/14,63.385,-0.45%,12/31/14,6.2061,0.07%,1/16/15,1.2155,-0.17%,11/30/15,0.9466,0.26%
12/29/14,63.67,0.17%,12/30/14,6.202,-0.33%,1/15/15,1.2176,-0.76%,11/27/15,0.9441,0.17%
12/26/14,63.562,0.07%,12/29/14,6.2225,0.15%,1/14/15,1.2269,0.20%,11/26/15,0.9425,0.16%
12/25/14,63.52,0.00%,12/26/14,6.2129,0.26%,1/13/15,1.2245,-0.12%,11/25/15,0.941,0.14%
12/24/14,63.52,0.13%,12/25/14,6.197,-0.29%,1/12/15,1.226,0.59%,11/24/15,0.9397,-0.05%
12/23/14,63.44,0.33%,12/24/14,6.2153,-0.17%,1/9/15,1.2188,-1.00%,11/23/15,0.9402,0.09%
12/22/14,63.23,-0.02%,12/23/14,6.2258,0.07%,1/8/15,1.2311,-0.53%,11/20/15,0.9394,0.84%
12/19/14,63.245,0.40%,12/22/14,6.2216,0.03%,1/7/15,1.2377,0.06%,11/19/15,0.9316,-0.70%
12/18/14,62.99,-0.84%,12/19/14,6.2199,0.09%,1/6/15,1.2369,-0.02%,11/18/15,0.9382,-0.14%
12/17/14,63.525,-0.21%,12/18/14,6.2145,0.28%,1/5/15,1.2372,0.08%,11/17/15,0.9395,0.40%
12/16/14,63.66,0.77%,12/17/14,6.197,0.12%,1/2/15,1.2362,1.15%,11/16/15,0.9358,0.87%
12/15/14,63.175,1.04%,12/16/14,6.1895,-0.02%,1/1/15,1.2222,-0.15%,11/13/15,0.9277,0.36%
12/12/14,62.525,0.07%,12/15/14,6.1905,0.06%,12/31/14,1.224,0.16%,11/12/15,0.9244,-0.68%
12/11/14,62.48,0.59%,12/12/14,6.1869,-0.03%,12/30/14,1.2221,-0.62%,11/11/15,0.9307,-0.19%
12/10/14,62.115,0.38%,12/11/14,6.1886,0.19%,12/29/14,1.2297,-0.18%,11/10/15,0.9325,0.24%
12/9/14,61.88,0.09%,12/10/14,6.1766,-0.18%,12/26/14,1.2319,-0.02%,11/9/15,0.9303,-0.08%
12/8/14,61.825,-0.15%,12/9/14,6.1878,0.24%,12/25/14,1.2322,-0.11%,11/6/15,0.931,1.34%
12/5/14,61.918,0.21%,12/8/14,6.173,0.37%,12/24/14,1.2336,-0.03%,11/5/15,0.9187,-0.17%
12/4/14,61.79,-0.12%,12/5/14,6.1502,-0.07%,12/23/14,1.234,0.39%,11/4/15,0.9203,0.93%
12/3/14,61.863,0.11%,12/4/14,6.1546,0.07%,12/22/14,1.2292,0.10%,11/3/15,0.9118,0.45%
12/2/14,61.795,-0.26%,12/3/14,6.1502,0.01%,12/19/14,1.228,0.27%,11/2/15,0.9077,-0.10%
12/1/14,61.955,-0.41%,12/2/14,6.1495,-0.04%,12/18/14,1.2247,-0.50%,10/30/15,0.9086,-0.27%
11/28/14,62.21,0.57%,12/1/14,6.152,0.14%,12/17/14,1.2309,1.16%,10/29/15,0.9111,-0.50%
11/27/14,61.86,0.11%,11/28/14,6.1432,0.07%,12/16/14,1.2168,-0.10%,10/28/15,0.9157,1.17%
11/26/14,61.795,-0.11%,11/27/14,6.1391,0.00%,12/15/14,1.218,0.43%,10/27/15,0.9051,0.08%
11/25/14,61.865,0.01%,11/26/14,6.1391,0.04%,12/12/14,1.2128,0.33%,10/26/15,0.9044,-0.36%
11/24/14,61.86,0.15%,11/25/14,6.1365,-0.08%,12/11/14,1.2088,0.54%,10/23/15,0.9077,0.82%
11/21/14,61.767,-0.26%,11/24/14,6.1417,0.27%,12/10/14,1.2023,-0.29%,10/22/15,0.9003,2.09%
11/20/14,61.93,-0.02%,11/21/14,6.1249,0.02%,12/9/14,1.2058,0.00%,10/21/15,0.8819,0.08%
11/19/14,61.945,0.36%,11/20/14,6.1235,0.07%,12/8/14,1.2058,0.40%,10/20/15,0.8812,-0.22%
11/18/14,61.725,-0.17%,11/19/14,6.1195,-0.03%,12/5/14,1.201,0.68%,10/19/15,0.8831,0.20%
11/17/14,61.83,0.19%,11/18/14,6.1213,-0.05%,12/4/14,1.1929,0.28%,10/16/15,0.8813,0.32%
11/14/14,61.715,0.19%,11/17/14,6.1243,-0.08%,12/3/14,1.1896,0.45%,10/15/15,0.8785,0.79%
11/13/14,61.6,0.37%,11/14/14,6.1295,0.08%,12/2/14,1.1843,0.56%,10/14/15,0.8716,-0.80%
11/12/14,61.375,-0.23%,11/13/14,6.1248,-0.02%,12/1/14,1.1777,0.23%,10/13/15,0.8786,-0.24%
11/11/14,61.515,0.05%,11/12/14,6.1262,0.03%,11/28/14,1.175,0.41%,10/12/15,0.8807,0.03%
11/10/14,61.485,-0.06%,11/11/14,6.1245,0.08%,11/27/14,1.1702,0.02%,10/9/15,0.8804,-0.70%
11/7/14,61.52,0.03%,11/10/14,6.1195,-0.05%,11/26/14,1.17,-0.19%,10/8/15,0.8866,-0.39%
11/6/14,61.5,0.11%,11/7/14,6.1227,0.18%,11/25/14,1.1722,1.03%,10/7/15,0.8901,0.33%
11/5/14,61.435,0.07%,11/6/14,6.112,-0.03%,11/24/14,1.1603,0.60%,10/6/15,0.8872,-0.77%
11/4/14,61.395,-0.04%,11/5/14,6.114,-0.02%,11/21/14,1.1534,-0.59%,10/5/15,0.8941,0.22%
11/3/14,61.42,0.02%,11/4/14,6.1152,-0.05%,11/20/14,1.1603,0.00%,10/2/15,0.8921,-0.11%
10/31/14,61.405,-0.06%,11/3/14,6.1183,0.09%,11/19/14,1.1603,1.19%,10/1/15,0.8931,-0.18%
10/30/14,61.44,0.24%,10/31/14,6.1127,-0.03%,11/18/14,1.1466,-0.15%,9/30/15,0.8947,0.64%
10/29/14,61.29,0.17%,10/30/14,6.1145,0.05%,11/17/14,1.1483,0.44%,9/29/15,0.889,-0.02%
10/28/14,61.188,-0.19%,10/29/14,6.1112,-0.03%,11/14/14,1.1433,-0.30%,9/28/15,0.8892,-0.46%
10/27/14,61.305,0.22%,10/28/14,6.1133,-0.05%,11/13/14,1.1467,-0.02%,9/25/15,0.8933,0.31%
10/24/14,61.17,0.00%,10/27/14,6.1165,-0.01%,11/12/14,1.1469,-0.38%,9/24/15,0.8905,-0.39%
10/23/14,61.17,-0.05%,10/24/14,6.117,-0.04%,11/11/14,1.1513,-0.74%,9/23/15,0.894,-0.58%
10/22/14,61.2,0.08%,10/23/14,6.1195,0.02%,11/10/14,1.1599,0.15%,9/22/15,0.8992,0.62%
10/21/14,61.15,-0.14%,10/22/14,6.1182,-0.05%,11/7/14,1.1582,-0.86%,9/21/15,0.8937,1.04%
10/20/14,61.235,-0.21%,10/21/14,6.121,-0.04%,11/6/14,1.1683,0.39%,9/18/15,0.8845,1.16%
10/17/14,61.365,-0.77%,10/20/14,6.1235,-0.01%,11/5/14,1.1638,1.70%,9/17/15,0.8744,-1.29%
10/16/14,61.84,0.75%,10/17/14,6.124,0.01%,11/4/14,1.1443,-0.67%,9/16/15,0.8858,-0.19%
10/15/14,61.38,-0.03%,10/16/14,6.1233,-0.04%,11/3/14,1.152,1.35%,9/15/15,0.8875,0.48%
10/14/14,61.4,0.64%,10/15/14,6.1259,0.01%,10/31/14,1.1366,0.41%,9/14/15,0.8833,0.16%
10/13/14,61.01,-0.45%,10/14/14,6.1255,0.00%,10/30/14,1.132,-0.41%,9/11/15,0.8819,-0.52%
10/10/14,61.285,0.38%,10/13/14,6.1255,-0.09%,10/29/14,1.1367,0.66%,9/10/15,0.8865,-0.66%
10/9/14,61.055,-0.50%,10/10/14,6.1311,0.01%,10/28/14,1.1292,-0.61%,9/9/15,0.8924,-0.06%
10/8/14,61.36,0.09%,10/9/14,6.1302,-0.14%,10/27/14,1.1361,-0.08%,9/8/15,0.8929,-0.28%
10/7/14,61.305,-0.39%,10/8/14,6.139,0.00%,10/24/14,1.137,-0.39%,9/7/15,0.8954,-0.19%
10/6/14,61.545,0.00%,10/7/14,6.139,0.00%,10/23/14,1.1414,0.18%,9/4/15,0.8971,-0.21%
10/3/14,61.545,0.00%,10/6/14,6.139,0.00%,10/22/14,1.1393,0.02%,9/3/15,0.899,0.93%
10/2/14,61.545,-0.29%,10/3/14,6.139,0.01%,10/21/14,1.1391,0.04%,9/2/15,0.8907,0.78%
10/1/14,61.725,-0.35%,10/2/14,6.1385,0.00%,10/20/14,1.1386,-0.45%,9/1/15,0.8838,-0.89%
9/30/14,61.94,0.62%,10/1/14,6.1385,0.00%,10/17/14,1.1437,0.15%,8/31/15,0.8917,-0.31%
9/29/14,61.56,0.68%,9/30/14,6.1385,-0.19%,10/16/14,1.142,0.83%,8/28/15,0.8945,0.60%
9/26/14,61.145,-0.31%,9/29/14,6.15,0.37%,10/15/14,1.1326,-1.31%,8/27/15,0.8892,0.61%
9/25/14,61.335,0.64%,9/26/14,6.1271,-0.15%,10/14/14,1.1476,0.65%,8/26/15,0.8838,1.80%
9/24/14,60.945,-0.18%,9/25/14,6.136,-0.01%,10/13/14,1.1402,-0.99%,8/25/15,0.8682,0.89%
9/23/14,61.055,0.18%,9/24/14,6.1366,-0.02%,10/10/14,1.1516,1.15%,8/24/15,0.8605,-1.99%
9/22/14,60.945,0.14%,9/23/14,6.1378,-0.04%,10/9/14,1.1385,0.66%,8/21/15,0.878,-1.29%
9/19/14,60.86,0.20%,9/22/14,6.1405,-0.01%,10/8/14,1.131,-0.27%,8/20/15,0.8895,-1.09%
9/18/14,60.74,-0.29%,9/19/14,6.141,0.01%,10/7/14,1.1341,-0.62%,8/19/15,0.8993,-0.88%
9/17/14,60.915,-0.24%,9/18/14,6.1405,0.02%,10/6/14,1.1412,-1.01%,8/18/15,0.9073,0.52%
9/16/14,61.06,-0.07%,9/17/14,6.139,-0.12%,10/3/14,1.1528,1.49%,8/17/15,0.9026,0.26%
9/15/14,61.105,0.74%,9/16/14,6.1461,0.07%,10/2/14,1.1359,-0.74%,8/14/15,0.9003,0.37%
9/12/14,60.655,-0.45%,9/15/14,6.142,0.12%,10/1/14,1.1444,0.10%,8/13/15,0.897,0.08%
9/11/14,60.93,0.00%,9/12/14,6.1347,0.08%,9/30/14,1.1433,-0.33%,8/12/15,0.8963,-1.05%
9/10/14,60.93,0.54%,9/11/14,6.13,0.01%,9/29/14,1.1471,0.54%,8/11/15,0.9058,-0.18%
9/9/14,60.605,0.55%,9/10/14,6.1294,-0.11%,9/26/14,1.1409,0.25%,8/10/15,0.9074,-0.47%
9/8/14,60.275,-0.20%,9/9/14,6.1364,-0.07%,9/25/14,1.1381,1.09%,8/7/15,0.9117,-0.39%
9/5/14,60.395,0.06%,9/8/14,6.1405,0.00%,9/24/14,1.1258,-0.48%,8/6/15,0.9153,-0.17%
9/4/14,60.36,-0.21%,9/5/14,6.1405,0.03%,9/23/14,1.1312,0.37%,8/5/15,0.9169,-0.22%
9/3/14,60.49,-0.32%,9/4/14,6.1386,-0.04%,9/22/14,1.127,0.60%,8/4/15,0.9189,0.62%
9/2/14,60.685,0.26%,9/3/14,6.141,-0.12%,9/19/14,1.1203,0.73%,8/3/15,0.9132,0.34%
9/1/14,60.53,0.02%,9/2/14,6.1482,0.10%,9/18/14,1.1122,-0.35%,7/31/15,0.9101,-0.49%
8/29/14,60.52,0.03%,9/1/14,6.142,-0.02%,9/17/14,1.1161,1.51%,7/30/15,0.9146,0.47%
8/28/14,60.5,0.07%,8/29/14,6.1433,0.01%,9/16/14,1.0995,-0.74%,7/29/15,0.9103,0.67%
8/27/14,60.455,0.03%,8/28/14,6.1428,-0.01%,9/15/14,1.1077,0.13%,7/28/15,0.9042,0.31%
8/26/14,60.435,-0.22%,8/27/14,6.1433,-0.15%,9/12/14,1.1063,0.67%,7/27/15,0.9014,-0.99%
8/25/14,60.57,0.17%,8/26/14,6.1525,-0.03%,9/11/14,1.0989,0.62%,7/24/15,0.9104,-0.01%
8/22/14,60.47,-0.34%,8/25/14,6.1544,0.05%,9/10/14,1.0921,0.50%,7/23/15,0.9105,-0.45%
8/21/14,60.675,0.10%,8/22/14,6.1515,0.00%,9/9/14,1.0867,0.85%,7/22/15,0.9146,0.03%
8/20/14,60.615,-0.10%,8/21/14,6.1515,0.19%,9/8/14,1.0775,1.05%,7/21/15,0.9143,-1.01%
8/19/14,60.675,-0.17%,8/20/14,6.14,-0.02%,9/5/14,1.0663,-0.32%,7/20/15,0.9236,0.02%
8/18/14,60.78,0.00%,8/19/14,6.1413,-0.03%,9/4/14,1.0697,-0.01%,7/17/15,0.9234,0.42%
